oncosuite_id,phases,official_title,enrollment_count,sites_count,sites_count_string,target_enrollment,cancer_stage,line_of_therapy,trial_status,ecog,sponsor_name,result_posted,start_date,primary_completion_date,intervention_study_type,trial_architecture,country_count,arm_type,control_type,regimen_complexity,stratification,response_criteria,blinding_info,last_updated_on,site_type,funding_source,sex,age,organ,histology,biomarkers,sites,locations,moa_category,moa,modality,classes,regimen_combination_strategy,target,drug_name,comorbidities,physical_state,treatment,mode_of_administration,primary_endpoints,primary_endpoint_type,lead_researcher,prior_therapy,study_design,latest_update_date,search_ranking,unique_identifier,,,,,,,,,,,,,,,,,,,,,,,,,
00v-vw5-Ejz,Phase 2,"Phase 2 Randomized Study of Ezatiostat Hydrochloride (Telintra™, TLK199 Tablets) for Treatment of Chemotherapy Induced Neutropenia in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer Receiving First-Line Chemotherapy",1,24,20 - 100,,"[""Advanced / Metastatic""]","[[""1L""]]",Terminated,"[""ECOG 0"", ""ECOG 1"", ""ECOG 2""]",Telik,No,01-10-2008,01-11-2008,"[""Treatment""]",['Single Cohort'],1,"[""Control"", ""Experimental""]","[""Active Comparator(SoC)""]",[1],"[""No""]",,Open-label,>24 months,Biotech / Pharma Industry,Industry,['All'],All Ages,"[""Lung""]","[""NSCLC""]",,"[""Broward Oncology Associates"", ""Case Medical Center (University Hospitals)"", ""Central Coast Medical Oncology Corporation"", ""Central Hematology Oncology Medical Group"", ""Clinical Trials and Research Associates Inc"", ""Coastal Cancer Center"", ""Comprehensive Cancer Centers of Nevada"", ""Florida Hospital Cancer Institute"", ""Joliet OncologyHematology Associates Ltd"", ""Lakeland Regional Cancer Center"", ""Medical Surgical Specialists"", ""Montefiore Medical Center"", ""Nature Coast Clinical Research"", ""North Valley HematologyOncology Medical Group"", ""Pacific Cancer Medical Center Inc"", ""Providence St Joseph Medical Center"", ""Samsum Clinic"", ""Santa Barbara Hematology Oncology Medical Group Inc"", ""St Jude Heritage Healthcare"", ""Suburban Hematology (Oncology Associates, PC)"", ""The University of Oklahoma Health Sciences Center"", ""UCLA Medical Center"", ""Ventura County Hematology (Oncology Specialists)"", ""Wilshire Oncology Medical Group""]","[""United States ( USA )""]","[""Cytotoxic Agent""]","[""Intrastrand and interstrand DNA crosslinking"", ""Microtubule stabilization""]","[""Small Molecule""]","[""Cytotoxic Chemotherapy""]","[""Chemotherapy""]","[""DNA (N7-guanine)"", ""Β-tubulin""]","[""Carboplatin"", ""Docetaxel""]",,,"[""carboplatin"", ""docetaxel"", ""ezatiostat hydrochloride (Telintra®)""]","[""Per Oral (PO)""]",,"[""Safety-based""]",,"[""Chemotherapy""]",Randomized,25-11-2013,0.282827575,"[""00v-vw5-Ejz"", ""NCT00701870""]",,,,,,,,,,,,,,,,,,,,,,,,,
0Bj-KsR-NnS,Phase 1,"A Phase 1, Open Label, Fixed Sequence, Crossover Study to Investigate the Effect of BAY 2927088 on the Pharmacokinetics of Midazolam in Healthy Participants",15,1,single site,,[null],,Completed,,Bayer,No,17-04-2024,28-06-2024,"[""Treatment""]",['Single Cohort'],1,"[""Experimental""]","[""No Comparator(single-arm)""]",[1],"[""No""]",,Open-label,>24 months,Biotech / Pharma Industry,Industry,['All'],Older Adult (18-64),,,,"[""Parexel Baltimore (Early Phase Clinical Unit)""]","[""United States ( USA )""]","[""Inhibitor""]","[""HER2/EGFR exon 20 insertion-selective inhibition""]","[""Small Molecule""]","[""EGFR / HER Pathway Inhibitor""]","[""Targeted Therapy""]","[""HER2 / EGFR exon20ins""]","[""BAY2927088""]","[""Uncontrolled diabetes mellitus""]",,"[""BAY2927088"", ""Midazolam""]","[""Per Oral (PO)""]","[""AUC (Area Under the Curve)"", ""Cmax (Maximum Concentration)""]","[""PK/PD-based""]",,,Single Arm,02-07-2024,0.484912974,"[""0Bj-KsR-NnS"", ""NCT06360211""]",,,,,,,,,,,,,,,,,,,,,,,,,
0bl-ZJQ-9ka,Phase 1,Phase 1 Study of BPI-442096 in Advanced Solid Tumor Patients,230,5,Feb-20,200 - 500,"[""Advanced / Metastatic"", ""Locally Advanced / Advanced""]",,Not Specified,"[""ECOG 0"", ""ECOG 1""]","Betta Pharmaceuticals Co., Ltd.",No,01-06-2022,01-05-2024,"[""Treatment""]",['Dose Expansion'],1,"[""Experimental""]","[""No Comparator(single-arm)""]",[1],"[""No""]",,Open-label,>24 months,Biotech / Pharma Industry,Industry,['All'],Older Adult (18-64),"[""Lung""]","[""NSCLC""]","[""BRAF"", ""KRAS"", ""Mutation"", ""Non-V600 mutation"", ""Rearrangement""]","[""Guangdong Provincial Peoples Hospital"", ""Henan Tumor Hospital"", ""The First Affiliated Hospital of Sun yat (sen university)"", ""Zhejiang Cancer Hospital"", ""Zhongshan Hospital affiliated to Fudan University""]","[""China ( CHN )""]","[""Inhibitor""]","[""Covalent irreversible KRASG12C inhibition""]","[""Small Molecule""]","[""RAS / MAPK Pathway Inhibitor""]","[""Targeted Therapy""]","[""KRAS G12C""]","[""BPI-442096""]","[""Active autoimmune disease""]",,"[""BPI-442096""]","[""Per Oral (PO)""]","[""AEs"", ""RP2D""]","[""Safety-based""]","[""Yilong Wu, Ph.D""]",,Non Randomized,15-06-2022,0.391350852,"[""0bl-ZJQ-9ka"", ""NCT05369312""]",,,,,,,,,,,,,,,,,,,,,,,,,
0bo-nhe-0As,Phase 2,"Efficacy and Safety of Paclitaxel Polymeric Micelles for Injection, Platinum (Cisplatin/Carboplatin) Combined With Sindilizumab Injection in the First-line Treatment of Advanced Non-squamous Non-small Cell Lung Cancer",28,2,Feb-20,< 50,"[""Advanced / Metastatic""]","[[""1L""]]",Not Specified,"[""ECOG 0"", ""ECOG 1""]",Jiangsu Cancer Institute & Hospital,No,15-03-2023,31-01-2024,"[""Treatment""]",['Single Cohort'],1,"[""Experimental""]","[""No Comparator(single-arm)""]",[1],"[""No""]",['RECIST 1.1'],Open-label,>24 months,Community Cancer Center,Other,['All'],All Ages,"[""Lung""]","[""Non-Squamous NSCLC"", ""NSCLC""]","[""ALK"", ""EGFR""]","[""Jiangsu Cancer Hospital"", ""Jiangsu Cancer Institute Hospital""]","[""China ( CHN )""]","[""Cytotoxic Agent""]","[""Microtubule stabilization""]","[""Small Molecule""]","[""Cytotoxic Chemotherapy""]","[""Chemotherapy""]","[""Β-tubulin""]","[""Paclitaxel""]",,,"[""paclitaxel""]","[""Intravenous (IV)""]","[""ORR (Objective Response Rate)""]","[""Efficacy-based""]",,,Single Arm,13-03-2023,0.390880216,"[""0bo-nhe-0As"", ""NCT05782426""]",,,,,,,,,,,,,,,,,,,,,,,,,
0DE-Mqq-oJ7,Phase 4,Evaluation of Blood Tumor Mutation Burden (TMB) for Improved Efficacy of Atezolizumab in 2nd Line Non-small Cell Lung Cancer (NSCLC) [BUDDY],100,1,single site,,"[""Advanced / Metastatic""]",,Completed,"[""ECOG 0"", ""ECOG 1"", ""ECOG 2""]",Chonnam National University Hospital,No,18-12-2019,31-12-2021,"[""Treatment""]",['Single Cohort'],1,"[""Experimental""]","[""No Comparator(single-arm)""]",,"[""No""]",,Open-label,>24 months,Academic Medical Center / University Hospital,Other,['All'],All Ages,"[""Lung""]","[""NSCLC""]","[""ALK"", ""EGFR"", ""PD-L1""]","[""Chonnam National University Hwasun Hospital""]","[""South Korea ( ROK )""]",,,,,,,,,"[""Minimum life expectancy""]","[""Atezolizumab Injection [Tecentriq]""]",,"[""ORR (Objective Response Rate)""]","[""Efficacy-based""]","[""In-Jae Oh, Md, Phd""]","[""Chemotherapy""]",Single Arm,06-02-2023,0.504469459,"[""0DE-Mqq-oJ7"", ""NCT04059887""]",,,,,,,,,,,,,,,,,,,,,,,,,
0eB-rfX-aNS,Phase 2,A Phase 2 Study of EIK1001 in Combination With Pembrolizumab and Chemotherapy in Patients With Stage 4 Non-Small Cell Lung Cancer,70,39,20 - 100,50 - 200,[null],"[[""1L""]]",Recruiting,"[""ECOG 0"", ""ECOG 1""]",Eikon Therapeutics,No,06-02-2024,01-12-2026,"[""Treatment""]",['Dose Expansion'],1,"[""Experimental""]","[""No Comparator(single-arm)""]",[2],"[""No""]",['RECIST 1.1'],Open-label,12-24 months,Biotech / Pharma Industry,Industry,['All'],All Ages,"[""Lung""]","[""Non-Squamous NSCLC"", ""NSCLC"", ""Squamous Cell Carcinoma""]",,"[""Accelacare of Duly"", ""Albert Einstein College of Medicine Jacobi Medical Center"", ""Atlanta Piedmont Hospital"", ""Baptist Cancer Center"", ""Bioresearch Partner"", ""Blue Ridge Cancer Care Oncology Associates SW VA"", ""California Cancer Care Associates for Research Excellence"", ""California Research Institute"", ""Cancer and Blood Specialists of New York White Plains Hospital"", ""Cancer Center of Kansas"", ""Gabrail Cancer Center"", ""Health Midwest Oncology Associates of Kansas"", ""Illinois Cancer Specialists"", ""Indiana University Cancer Center"", ""Ironwood Cancer and Research Center"", ""Jersey Shore University Medical CenterMeridian Hematology Oncology"", ""Kaiser Permanente Hawaii"", ""Laura Isaac Perlmutter Cancer Center at NYU Langone Health"", ""Maryland Oncology"", ""Medstar Franklin Square Cancer Center at Loch Raven Campus"", ""Memorial Cancer Institute"", ""Messino Cancer Centers"", ""Mid (Florida Hematology and Oncology Center)"", ""Moffitt Cancer Center"", ""New York Cancer and Blood Specialists"", ""Orlando Health Cancer Institute"", ""Providence St Joseph Hospital Center for Cancer Prevention and Treatment"", ""Rocky Mountain Cancer"", ""Shenandoah Oncology"", ""Southern Cancer Care"", ""Sutter Health Institute for Medical Research"", ""Tennessee Cancer Specialists"", ""Texas Oncology Austin"", ""Texas Oncology Bedford"", ""The Center for Cancer and Blood Disorders"", ""University of Southern California Norris Comprehensive Cancer Center"", ""Virginia Cancer Specialists"", ""Weil Cornell Medical Center"", ""Willamette Valley""]","[""United States ( USA )""]","[""Agonist"", ""Cytotoxic Agent"", ""Inhibitor""]","[""Intrastrand and interstrand DNA crosslinking"", ""Microtubule stabilization"", ""PD-1 blockade"", ""Thymidylate synthase (TS), DHFR, and GARFT inhibition"", ""TLR7/8 co-agonism""]","[""Monoclonal Antibody"", ""Small Molecule""]","[""Cytotoxic Chemotherapy"", ""Immune Checkpoint Inhibitor"", ""Innate Immune Agonist""]","[""Chemotherapy"", ""Immunotherapy (IO)""]","[""DNA (N7-guanine)"", ""PD-1"", ""TLR7 / TLR8"", ""TS / DHFR / GARFT"", ""Β-tubulin""]","[""Carboplatin"", ""EIK1001"", ""Paclitaxel"", ""Pembrolizumab"", ""Pemetrexed""]",,,"[""Carboplatin"", ""EIK1001"", ""Paclitaxel"", ""Pembrolizumab"", ""Pemetrexed""]",,,"[""Safety-based""]",,,Non Randomized,09-04-2025,0.564253938,"[""0eB-rfX-aNS"", ""NCT06246110""]",,,,,,,,,,,,,,,,,,,,,,,,,
0ji-5m6-iDt,Phase 1/2,"A Phase 1/2, Multiple-Dose, Dose-Escalation Study to Assess the Safety, Efficacy, and Pharmacokinetics of Intravenous CNTO 328, an Anti-Interleukin 6 (IL-6) Monoclonal Antibody, in Subjects With Solid Tumors",84,12,Feb-20,,[null],,Completed,"[""ECOG 2""]","Centocor, Inc.",No,01-03-2009,01-04-2011,"[""Treatment""]",['Dose Expansion'],5,"[""Experimental""]","[""No Comparator(single-arm)""]",,"[""No""]",['RECIST 1.1'],Open-label,>24 months,Biotech / Pharma Industry,Industry,['All'],All Ages,,,,"[""Research Site""]","[""Belgium ( BEL )"", ""France ( FRA )"", ""Spain ( ESP )"", ""United Kingdom ( UK )"", ""United States ( USA )""]",,,,,,,,"[""Clinically significant cardiovascular disease""]","[""Recovered""]","[""CNTO 328; Anti-interleukin-6 monoclonal antibody""]","[""Intravenous (IV)""]","[""CBR (Clinical Benefit Rate)""]","[""Efficacy-based""]",,"[""Chemotherapy""]",Non Randomized,13-05-2014,0.515781194,"[""0ji-5m6-iDt"", ""NCT00841191""]",,,,,,,,,,,,,,,,,,,,,,,,,
0jm-9zs-Awp,Phase 2,"A Randomized, Open-label Phase 2 Study of EC145 Single-agent and the Combination of EC145 Plus Docetaxel Versus Docetaxel Alone in Participants With Folate-receptor Positive [FR(++)] Second Line NSCLC",203,0,,,"[""Advanced / Metastatic""]","[[""2L""]]",Completed,"[""ECOG 0"", ""ECOG 1""]",Endocyte,No,01-03-2011,01-12-2013,"[""Treatment""]",['Single Cohort'],0,"[""Control"", ""Experimental""]","[""Active Comparator(SoC)""]","[2, 3]","[""No""]",['RECIST 1.1'],Open-label,>24 months,Biotech / Pharma Industry,Industry,['All'],All Ages,"[""Lung""]","[""Adenocarcinoma"", ""Adenosquamous Carcinoma"", ""NSCLC"", ""Squamous Cell Carcinoma""]",,,,"[""Cytotoxic Agent"", ""Modulator""]","[""FR-α receptor binding"", ""FR-α targeting + vinca alkaloid payload delivery"", ""Microtubule stabilization""]","[""Antibody-Drug Conjugate (ADC)"", ""Radiopharmaceutical"", ""Small Molecule""]","[""Antibody-Drug Conjugate"", ""Cytotoxic Chemotherapy"", ""Targeted Radioligand Therapy""]","[""ADC"", ""Chemotherapy"", ""Radiopharmaceutical""]","[""Folate receptor α (FR-α)"", ""FR-α (FOLR1)"", ""Β-tubulin""]","[""Docetaxel"", ""EC145"", ""EC20""]","[""Clinically significant cardiovascular disease""]",,"[""Docetaxel"", ""EC145"", ""EC20""]","[""Intravenous (IV)""]","[""PFS (Progression-Free Survival)""]","[""Survival-based""]",,,Randomized,30-03-2021,0.478795468,"[""0jm-9zs-Awp"", ""NCT01577654""]",,,,,,,,,,,,,,,,,,,,,,,,,
0ju-wTt-c6r,Phase 2,A Phase II Study of TY-9591 Tablets in Patients With EGFR-Mutated Non-small Cell Lung Cancer With Brain Metastases,420,1,single site,200 - 500,"[""Advanced / Metastatic""]","[[""1L""]]",Recruiting,"[""ECOG 0"", ""ECOG 1""]","TYK Medicines, Inc",No,17-08-2023,30-06-2025,"[""Treatment""]",['Single Cohort'],1,"[""Control"", ""Experimental""]","[""Active Comparator(SoC)""]",[1],"[""No""]",,Open-label,12-24 months,Biotech / Pharma Industry,Industry,['All'],Older Adult (18-64),"[""Lung""]","[""NSCLC""]","[""EGFR"", ""Exon 19 deletion"", ""L858R""]","[""National Cancer CenterCancer HospitialChinese Academy of Medical Sciences and Peking Union Medical College""]","[""China ( CHN )""]","[""Inhibitor""]","[""3rd-gen mutant-selective covalent EGFR inhibition (T790M, exon19del, L858R)"", ""3rd-gen mutant-selective EGFR inhibition""]","[""Small Molecule""]","[""EGFR / HER Pathway Inhibitor""]","[""Targeted Therapy""]","[""EGFR (T790M/exon19del/L858R)""]","[""Osimertinib"", ""TY-9591""]","[""HIV serostatus""]",,"[""Osimertinib"", ""TY-9591""]","[""Per Oral (PO)""]","[""iORR"", ""iPFS""]","[""Efficacy-based"", ""Survival-based""]","[""Yuankai Shi, Md""]",,Randomized,18-11-2024,0.518052077,"[""0ju-wTt-c6r"", ""NCT05948813""]",,,,,,,,,,,,,,,,,,,,,,,,,
0kk-ZxN-ocQ,Phase 1,"Study of BAY43-9006 (Sorafenib) in Combination With Carboplatin, Paclitaxel and Bevacizumab in Previously Untreated Patients With Stage IIIB (With Malignant Pleural Effusions) or Stage IV Non-small Cell Lung Cancer (NSCLC)",33,2,Feb-20,,"[""Advanced / Metastatic""]","[[""1L""]]",Completed,"[""ECOG 0"", ""ECOG 1""]",Bayer,No,01-07-2006,01-09-2011,"[""Treatment""]",['Dose Expansion'],1,"[""Experimental""]","[""No Comparator(single-arm)""]",[2],"[""No""]",,Open-label,>24 months,Biotech / Pharma Industry,Industry,['All'],All Ages,"[""Lung""]","[""Non-Squamous NSCLC"", ""NSCLC""]",,"[""Research Site""]","[""United States ( USA )""]","[""Cytotoxic Agent"", ""Inhibitor""]","[""Intrastrand and interstrand DNA crosslinking"", ""Microtubule stabilization"", ""VEGF-A neutralization""]","[""Monoclonal Antibody"", ""Small Molecule""]","[""Anti-Angiogenic Agent"", ""Cytotoxic Chemotherapy""]","[""Chemotherapy"", ""Targeted Therapy""]","[""DNA (N7-guanine)"", ""VEGF-A"", ""Β-tubulin""]","[""Bevacizumab"", ""Carboplatin"", ""Paclitaxel""]","[""HIV serostatus""]",,"[""Bevacizumab"", ""Carboplatin"", ""Nexavar (Sorafenib, BAY43-9006)"", ""Paclitaxel""]","[""Intravenous (IV)"", ""Per Oral (PO)""]",,"[""Safety-based""]",,,Non Randomized,12-11-2013,0.424247564,"[""0kk-ZxN-ocQ"", ""NCT01069328""]",,,,,,,,,,,,,,,,,,,,,,,,,
