country,population_count,country_id,population_in_number
Iceland ( ISL ),0.4 million,29,400000
Albania ( ALB ),3 million,1,3000000
Argentina ( ARG ),46 million,2,46000000
Australia ( AUS ),27 million,3,27000000
Austria ( AUT ),9 million,4,9000000
Bangladesh ( BAN ),174 million,5,174000000
Belarus ( BLR ),9 million,6,9000000
Belgium ( BEL ),12 million,7,12000000
Bosnia and Herzegovina ( BIH ),3 million,8,3000000
Brazil ( BRA ),216 million,9,216000000
Bulgaria ( BGR ),7 million,10,7000000
Canada ( CAN ),41 million,11,41000000
Chile ( CHL ),20 million,12,20000000
Colombia ( COL ),53 million,14,53000000
Croatia ( HRV ),4 million,15,4000000
Cuba ( CUB ),11 million,16,11000000
Czechia ( CZE ),11 million,17,11000000
Denmark ( DNK ),6 million,18,6000000
Ecuador ( ECU ),18 million,19,18000000
Egypt ( EGY ),113 million,20,113000000
Estonia ( EST ),1 million,21,1000000
Finland ( FIN ),6 million,22,6000000
France ( FRA ),65 million,23,65000000
Georgia ( GEO ),4 million,24,4000000
Germany ( GER ),84 million,25,84000000
Greece ( GRC ),10 million,26,10000000
Guatemala ( GTM ),19 million,27,19000000
Hungary ( HUN ),9 million,28,9000000
Indonesia ( IDN ),279 million,31,279000000
Ireland ( IRL ),5 million,32,5000000
Israel ( ISR ),10 million,33,10000000
Italy ( ITA ),59 million,34,59000000
Japan ( JPN ),123 million,35,123000000
Jordan ( JOR ),11 million,36,11000000
Latvia ( LVA ),2 million,37,2000000
Lebanon ( LBN ),6 million,38,6000000
Lithuania ( LTU ),3 million,39,3000000
Luxembourg ( LUX ),0.7 million,40,1000000
Malaysia ( MYS ),34 million,41,34000000
Mexico ( MEX ),131 million,42,131000000
Moldova ( MDA ),3 million,43,3000000
Mongolia ( MNG ),3 million,44,3000000
Montenegro ( MNE ),1 million,45,1000000
Netherlands ( NLD ),18 million,46,18000000
New Zealand ( NZL ),5 million,47,5000000
Norway ( NOR ),6 million,48,6000000
Pakistan ( PAK ),245 million,49,245000000
Panama ( PAN ),5 million,50,5000000
Peru ( PER ),35 million,51,35000000
Philippines ( PHL ),118 million,52,118000000
Poland ( POL ),38 million,53,38000000
Portugal ( PRT ),10 million,54,10000000
Romania ( ROU ),19 million,55,19000000
Russia ( RUS ),144 million,56,144000000
Saudi Arabia ( SAU ),37 million,57,37000000
Serbia ( SRB ),7 million,58,7000000
Singapore ( SGP ),6 million,59,6000000
Slovakia ( SVK ),5 million,60,5000000
Slovenia ( SVN ),2 million,61,2000000
South Africa ( SA ),63 million,62,63000000
South Korea ( ROK ),52 million,63,52000000
Spain ( ESP ),48 million,64,48000000
Sweden ( SWE ),11 million,65,11000000
Switzerland ( CHE ),9 million,66,9000000
Taiwan ( TWN ),24 million,67,24000000
Thailand ( THA ),71 million,68,71000000
Turkey ( TUR ),87 million,69,87000000
Ukraine ( UKR ),38 million,70,38000000
United Kingdom ( UK ),68 million,71,68000000
Uruguay ( URY ),4 million,73,4000000
Venezuela ( VEN ),29 million,74,29000000
Vietnam ( VNM ),101 million,75,101000000
China ( CHN ),1.41 billion,13,1409000000
India ( IND ),1.43 billion,30,1430000000
United States ( USA ),342 million,72,342000000
